Date,Name,Year,Letterboxd URI,Rating
2024-01-02,Brief Encounter,1945,https://boxd.it/29sm,5
2024-01-03,The Hidden,1987,https://boxd.it/1RUW,5
2024-01-06,Two Lovers,2008,https://boxd.it/1Ws4,5
2024-01-07,L'Eclisse,1962,https://boxd.it/1CoG,5
2024-01-09,Sweet Smell of Success,1957,https://boxd.it/29aW,5
2024-01-10,Blood Rage,1987,https://boxd.it/1pSI,5
2024-01-10,Mikey and Nicky,1976,https://boxd.it/iL4,5
2024-01-11,Man on Fire,2004,https://boxd.it/1Yvk,5
2024-01-11,SubUrbia,1996,https://boxd.it/1qlK,5
2024-01-12,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM,5
2024-01-13,The Bridges of Madison County,1995,https://boxd.it/29Os,5
